Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
03-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,734,8,242,98,0,16,8249
04-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,830,10,263,96,0,21,8249
05-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,928,12,277,98,0,14,8249
06-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,1027,14,326,99,0,49,8249
12-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
13-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
14-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
15-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
16-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
17-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
18-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,162975
19-03-2020,Andhra Pradesh,15.9129,79.74,2,0,0,1,0,0,162975
20-03-2020,Andhra Pradesh,15.9129,79.74,2,0,0,0,0,0,162975
21-03-2020,Andhra Pradesh,15.9129,79.74,3,0,0,1,0,0,162975
22-03-2020,Andhra Pradesh,15.9129,79.74,5,0,0,2,0,0,162975
23-03-2020,Andhra Pradesh,15.9129,79.74,7,0,0,2,0,0,162975
24-03-2020,Andhra Pradesh,15.9129,79.74,8,0,0,1,0,0,162975
25-03-2020,Andhra Pradesh,15.9129,79.74,9,0,1,1,0,1,162975
26-03-2020,Andhra Pradesh,15.9129,79.74,11,0,1,2,0,0,162975
27-03-2020,Andhra Pradesh,15.9129,79.74,12,0,1,1,0,0,162975
28-03-2020,Andhra Pradesh,15.9129,79.74,14,0,1,2,0,0,162975
29-03-2020,Andhra Pradesh,15.9129,79.74,14,0,1,0,0,0,162975
30-03-2020,Andhra Pradesh,15.9129,79.74,19,0,1,5,0,0,162975
31-03-2020,Andhra Pradesh,15.9129,79.74,40,0,1,21,0,0,162975
01-04-2020,Andhra Pradesh,15.9129,79.74,83,0,0,43,0,-1,162975
02-04-2020,Andhra Pradesh,15.9129,79.74,86,1,1,3,0,1,162975
03-04-2020,Andhra Pradesh,15.9129,79.74,132,1,1,46,0,0,162975
04-04-2020,Andhra Pradesh,15.9129,79.74,161,1,1,29,0,0,162975
05-04-2020,Andhra Pradesh,15.9129,79.74,161,1,1,0,0,0,162975
06-04-2020,Andhra Pradesh,15.9129,79.74,226,3,1,65,0,0,162975
07-04-2020,Andhra Pradesh,15.9129,79.74,266,3,1,40,0,0,162975
08-04-2020,Andhra Pradesh,15.9129,79.74,305,4,1,39,0,0,162975
09-04-2020,Andhra Pradesh,15.9129,79.74,348,4,6,43,0,5,162975
10-04-2020,Andhra Pradesh,15.9129,79.74,348,4,6,0,0,0,162975
11-04-2020,Andhra Pradesh,15.9129,79.74,363,6,7,15,0,1,162975
12-04-2020,Andhra Pradesh,15.9129,79.74,381,6,11,18,0,4,162975
13-04-2020,Andhra Pradesh,15.9129,79.74,427,7,11,46,0,0,162975
14-04-2020,Andhra Pradesh,15.9129,79.74,473,9,14,46,0,3,162975
15-04-2020,Andhra Pradesh,15.9129,79.74,483,9,16,10,0,2,162975
